"film_id","year","length","budget","votes","genre","rating","hagh_rating","log_votes","high_rating"
31804,2002,18,9.6,15,"Drama",8,1,2.70805020110221,1
25453,2000,98,13.8,23,"Action",3.3,0,3.13549421592915,0
5479,1989,81,11.5,57,"Documentary",7.9,1,4.04305126783455,1
44235,1995,100,7.5,32,"Action",3.4,0,3.46573590279973,0
14580,2003,80,10.8,30,"Action",2.6,0,3.40119738166216,0
31060,1990,90,13.8,81,"Comedy",3.5,0,4.39444915467244,0
44255,1967,98,13.6,19,"Documentary",8.2,1,2.94443897916644,1
22834,1987,58,15.6,24,"Documentary",8.6,1,3.17805383034795,1
58656,1968,174,11.3,89,"Comedy",4.4,0,4.48863636973214,0
23126,1931,3,15.7,7,"Comedy",7.9,1,1.94591014905531,1
58403,1991,100,14.3,563,"Drama",4.9,0,6.33327962813969,0
48004,1937,93,16.4,80,"Comedy",8.3,1,4.38202663467388,1
35454,1971,68,10.2,5,"Drama",4,0,1.6094379124341,0
33737,1972,105,8.6,61,"Action",4.5,0,4.11087386417331,0
22438,2001,110,10.4,8037,"Comedy",4,0,8.99181115821272,0
15410,1936,69,12.1,45,"Comedy",7.4,1,3.80666248977032,1
18642,1994,142,9.3,89722,"Comedy",3.8,0,11.4044712799595,0
42298,2000,148,12.2,6,"Comedy",3.4,0,1.79175946922805,0
5,1975,71,13.5,17,"Action",4.6,0,2.83321334405622,0
10500,1944,71,15.2,124,"Drama",4.6,0,4.82028156560504,0
22021,1980,88,16.7,51,"Comedy",8.4,1,3.93182563272433,1
27560,1977,90,10.8,3756,"Comedy",8.3,1,8.23110984032815,1
11454,1941,7,10.9,37,"Animation",7.7,1,3.61091791264422,1
52193,1990,90,11.4,113,"Drama",4.6,0,4.72738781871234,0
11590,1995,42,14.2,100,"Short",8.9,1,4.60517018598809,1
38508,2002,88,15.1,5,"Comedy",8.4,1,1.6094379124341,1
10990,1986,95,14.8,10,"Action",3.9,0,2.30258509299405,0
49948,1972,89,12.8,8,"Comedy",4.2,0,2.07944154167984,0
36161,1982,89,12,42,"Action",2.5,0,3.73766961828337,0
26239,1901,3,9.3,5,"Documentary",9.1,1,1.6094379124341,1
12582,1997,5,9.9,21,"Comedy",7.2,1,3.04452243772342,1
45281,1979,91,8.7,33,"Action",2.5,0,3.49650756146648,0
52644,1970,105,15.8,12,"Comedy",8.1,1,2.484906649788,1
886,1997,123,10.5,43,"Action",2.7,0,3.76120011569356,0
53182,2001,89,14.5,343,"Drama",4,0,5.83773044716594,0
39748,1990,100,10,63,"Action",4.9,0,4.14313472639153,0
7390,1959,95,10.5,51,"Comedy",7.4,1,3.93182563272433,1
12065,1994,54,13.9,16,"Documentary",8.6,1,2.77258872223978,1
56756,1970,96,14.2,184,"Comedy",8.3,1,5.21493575760899,1
28191,1961,95,13.4,24,"Drama",3.7,0,3.17805383034795,0
2267,1992,65,10,38,"Action",4.7,0,3.63758615972639,0
47806,1994,95,14.7,50,"Action",5,0,3.91202300542815,0
23099,1948,97,13.9,60,"Drama",4.9,0,4.0943445622221,0
58612,1961,6,15.6,31,"Animation",8.1,1,3.43398720448515,1
10457,1990,93,10.7,54,"Comedy",7.8,1,3.98898404656427,1
22152,1985,89,5.7,51,"Comedy",4.2,0,3.93182563272433,0
14728,1971,85,6.6,87,"Comedy",3.4,0,4.46590811865458,0
24016,1974,102,10,109,"Action",5.9,0,4.69134788222914,0
55122,1932,77,11.4,12,"Comedy",8.3,1,2.484906649788,1
54090,1927,60,13.8,72,"Comedy",7.9,1,4.27666611901606,1
43921,1921,22,14.6,12,"Comedy",8,1,2.484906649788,1
16282,1999,20,7.3,13,"Short",8.1,1,2.56494935746154,1
45539,1974,102,14,73,"Drama",4.7,0,4.29045944114839,0
29620,1934,6,15.9,12,"Animation",8,1,2.484906649788,1
38463,2000,100,12.6,20,"Action",4.6,0,2.99573227355399,0
50701,1946,40,10.1,5,"Short",6.9,0,1.6094379124341,0
30262,1998,92,11.1,36,"Action",3.9,0,3.58351893845611,0
296,2000,105,11.2,25,"Comedy",4.7,0,3.2188758248682,0
20380,1944,95,14.5,19,"Comedy",7.8,1,2.94443897916644,1
11095,2000,84,13,629,"Action",3.9,0,6.44413125670044,0
48492,1986,120,10.2,75,"Comedy",4.1,0,4.31748811353631,0
49209,1963,97,11.6,35,"Drama",4.3,0,3.55534806148941,0
50639,2004,15,6.2,32,"Drama",3.3,0,3.46573590279973,0
56925,1936,19,14.8,7,"Comedy",8.4,1,1.94591014905531,1
28074,1982,97,12.4,10,"Drama",3.3,0,2.30258509299405,0
21519,1999,104,10.5,804,"Drama",4.8,0,6.68959926917897,0
49055,1997,97,10.7,1607,"Action",4.8,0,7.38212436573751,0
51532,2002,95,12.8,17,"Drama",2.4,0,2.83321334405622,0
31940,1992,100,7.9,503,"Comedy",4.7,0,6.22059017009974,0
29259,1951,59,17.5,12,"Action",8.3,1,2.484906649788,1
44792,1983,103,12.6,15,"Comedy",7.5,1,2.70805020110221,1
83,1968,100,11.5,19,"Action",5.1,0,2.94443897916644,0
51854,1998,87,16.8,32,"Drama",2.8,0,3.46573590279973,0
14295,2003,13,14.2,22,"Comedy",8.1,1,3.09104245335832,1
45677,1964,86,14.9,7,"Drama",3.7,0,1.94591014905531,0
17415,1978,114,11.5,271,"Drama",2.7,0,5.6021188208797,0
42964,1990,74,8.4,1649,"Animation",4,0,7.4079243225596,0
33887,1985,100,11.5,750,"Action",3.2,0,6.62007320653036,0
39739,1990,80,16.8,19,"Animation",5.6,0,2.94443897916644,0
13573,1995,25,8.1,10,"Short",8.6,1,2.30258509299405,1
48580,1938,66,11.7,7,"Drama",2.3,0,1.94591014905531,0
54450,1992,117,9.8,2297,"Action",5.6,0,7.7393592026891,0
52407,1962,129,14.6,30139,"Drama",4.9,0,10.3135752931297,0
26672,1986,77,14.1,111,"Comedy",9,1,4.70953020131233,1
26290,2004,107,16.8,51,"Action",8,1,3.93182563272433,1
7159,1947,70,9.4,23,"Action",2.5,0,3.13549421592915,0
38828,1997,97,11.7,11,"Action",5.1,0,2.39789527279837,0
39351,1999,88,5.1,14,"Drama",4.7,0,2.63905732961526,0
46356,1980,100,13,63,"Action",3.3,0,4.14313472639153,0
9092,1985,76,11.9,10,"Action",5.3,0,2.30258509299405,0
25163,1998,50,15.3,8,"Documentary",7.2,1,2.07944154167984,1
7970,1990,68,10.9,17,"Action",1.7,0,2.83321334405622,0
14136,2003,83,14.3,7,"Documentary",7.9,1,1.94591014905531,1
53858,1951,106,13.3,65,"Action",4.4,0,4.17438726989564,0
56110,1967,100,9.8,18,"Documentary",7.7,1,2.89037175789616,1
43755,1948,86,13.6,16,"Action",2.6,0,2.77258872223978,0
14555,1996,94,14.7,226,"Drama",2.6,0,5.42053499927229,0
35994,2002,6,14.4,5,"Animation",7.9,1,1.6094379124341,1
47726,1943,126,20.1,187,"Drama",2.8,0,5.23110861685459,0
29170,1966,92,10.8,42,"Comedy",7.9,1,3.73766961828337,1
26824,2001,93,17.5,59,"Action",8,1,4.07753744390572,1
15795,2001,91,14.7,17,"Action",3.8,0,2.83321334405622,0
3850,1992,74,14.1,7,"Comedy",8.3,1,1.94591014905531,1
12770,2001,98,16.2,15,"Action",8.4,1,2.70805020110221,1
12006,1995,119,12,3942,"Action",2.9,0,8.27944348771267,0
7923,1941,72,9.4,5,"Drama",2,0,1.6094379124341,0
41419,1935,75,14.6,11,"Action",3.5,0,2.39789527279837,0
19222,2002,22,13,17,"Drama",8.1,1,2.83321334405622,1
40371,1972,99,9.1,55,"Drama",2.8,0,4.00733318523247,0
12613,1934,83,13.4,12,"Comedy",8.2,1,2.484906649788,1
56144,1952,81,13.8,22,"Drama",3.3,0,3.09104245335832,0
42430,1972,91,12.9,34,"Action",4.4,0,3.52636052461616,0
5365,1948,82,9,10,"Drama",4.2,0,2.30258509299405,0
2650,2005,85,16.5,32,"Animation",3.8,0,3.46573590279973,0
5694,1999,90,14.7,15,"Action",4.3,0,2.70805020110221,0
21487,1944,121,6.3,21,"Drama",4.9,0,3.04452243772342,0
