"film_id","year","length","budget","votes","genre","rating"
31804,2002,18,9.6,15,"Drama",8
25453,2000,98,13.8,23,"Action",3.3
5479,1989,81,11.5,57,"Documentary",7.9
44235,1995,100,7.5,32,"Action",3.4
14580,2003,80,10.8,30,"Action",2.6
31060,1990,90,13.8,81,"Comedy",3.5
44255,1967,98,13.6,19,"Documentary",8.2
22834,1987,58,15.6,24,"Documentary",8.6
58656,1968,174,11.3,89,"Comedy",4.4
23126,1931,3,15.7,7,"Comedy",7.9
58403,1991,100,14.3,563,"Drama",4.9
48004,1937,93,16.4,80,"Comedy",8.3
35454,1971,68,10.2,5,"Drama",4
58563,1987,NA,13.7,108,"Action",3.6
25377,1977,NA,14.3,9,"Comedy",8.5
33737,1972,105,8.6,61,"Action",4.5
2039,1999,NA,15.3,12,"Documentary",8.5
58299,1975,NA,15.1,158,"Animation",8.2
22438,2001,110,10.4,8037,"Comedy",4
15410,1936,69,12.1,45,"Comedy",7.4
18642,1994,142,9.3,89722,"Comedy",3.8
42298,2000,148,12.2,6,"Comedy",3.4
5,1975,71,13.5,17,"Action",4.6
10500,1944,71,15.2,124,"Drama",4.6
22021,1980,88,16.7,51,"Comedy",8.4
27560,1977,90,10.8,3756,"Comedy",8.3
11454,1941,7,10.9,37,"Animation",7.7
52193,1990,90,11.4,113,"Drama",4.6
11590,1995,42,14.2,100,"Short",8.9
38508,2002,88,15.1,5,"Comedy",8.4
10990,1986,95,14.8,10,"Action",3.9
49948,1972,89,12.8,8,"Comedy",4.2
36161,1982,89,12,42,"Action",2.5
26239,1901,3,9.3,5,"Documentary",9.1
12582,1997,5,9.9,21,"Comedy",7.2
45281,1979,91,8.7,33,"Action",2.5
52644,1970,105,15.8,12,"Comedy",8.1
886,1997,123,10.5,43,"Action",2.7
53182,2001,89,14.5,343,"Drama",4
39748,1990,100,10,63,"Action",4.9
7390,1959,95,10.5,51,"Comedy",7.4
12065,1994,54,13.9,16,"Documentary",8.6
56756,1970,96,14.2,184,"Comedy",8.3
28191,1961,95,13.4,24,"Drama",3.7
2267,1992,65,10,38,"Action",4.7
47806,1994,95,14.7,50,"Action",5
23099,1948,97,13.9,60,"Drama",4.9
58612,1961,6,15.6,31,"Animation",8.1
10457,1990,93,10.7,54,"Comedy",7.8
22152,1985,89,5.7,51,"Comedy",4.2
14728,1971,85,6.6,87,"Comedy",3.4
24016,1974,102,10,109,"Action",5.9
55122,1932,77,11.4,12,"Comedy",8.3
21417,1915,NA,9.4,13,"Drama",7.7
54090,1927,60,13.8,72,"Comedy",7.9
43921,1921,22,14.6,12,"Comedy",8
16282,1999,20,7.3,13,"Short",8.1
45539,1974,102,14,73,"Drama",4.7
29620,1934,6,15.9,12,"Animation",8
38463,2000,100,12.6,20,"Action",4.6
50701,1946,40,10.1,5,"Short",6.9
30262,1998,92,11.1,36,"Action",3.9
296,2000,105,11.2,25,"Comedy",4.7
20380,1944,95,14.5,19,"Comedy",7.8
11095,2000,84,13,629,"Action",3.9
48492,1986,120,10.2,75,"Comedy",4.1
49209,1963,97,11.6,35,"Drama",4.3
50639,2004,15,6.2,32,"Drama",3.3
56925,1936,19,14.8,7,"Comedy",8.4
28074,1982,97,12.4,10,"Drama",3.3
21519,1999,104,10.5,804,"Drama",4.8
49055,1997,97,10.7,1607,"Action",4.8
51532,2002,95,12.8,17,"Drama",2.4
31940,1992,100,7.9,503,"Comedy",4.7
29259,1951,59,17.5,12,"Action",8.3
44792,1983,103,12.6,15,"Comedy",7.5
83,1968,100,11.5,19,"Action",5.1
51854,1998,87,16.8,32,"Drama",2.8
14295,2003,13,14.2,22,"Comedy",8.1
45677,1964,86,14.9,7,"Drama",3.7
17415,1978,114,11.5,271,"Drama",2.7
42964,1990,74,8.4,1649,"Animation",4
33887,1985,100,11.5,750,"Action",3.2
39739,1990,80,16.8,19,"Animation",5.6
13573,1995,25,8.1,10,"Short",8.6
48580,1938,66,11.7,7,"Drama",2.3
54450,1992,117,9.8,2297,"Action",5.6
20109,1979,NA,7.7,42,"Action",4.4
52407,1962,129,14.6,30139,"Drama",4.9
26672,1986,77,14.1,111,"Comedy",9
26290,2004,107,16.8,51,"Action",8
7159,1947,70,9.4,23,"Action",2.5
38828,1997,97,11.7,11,"Action",5.1
39351,1999,88,5.1,14,"Drama",4.7
46356,1980,100,13,63,"Action",3.3
9092,1985,76,11.9,10,"Action",5.3
48733,1977,NA,12.8,60,"Drama",4.9
25163,1998,50,15.3,8,"Documentary",7.2
7970,1990,68,10.9,17,"Action",1.7
14136,2003,83,14.3,7,"Documentary",7.9
53858,1951,106,13.3,65,"Action",4.4
56110,1967,100,9.8,18,"Documentary",7.7
43755,1948,86,13.6,16,"Action",2.6
14555,1996,94,14.7,226,"Drama",2.6
35994,2002,6,14.4,5,"Animation",7.9
47726,1943,126,20.1,187,"Drama",2.8
29170,1966,92,10.8,42,"Comedy",7.9
26824,2001,93,17.5,59,"Action",8
15795,2001,91,14.7,17,"Action",3.8
3850,1992,74,14.1,7,"Comedy",8.3
12770,2001,98,16.2,15,"Action",8.4
12006,1995,119,12,3942,"Action",2.9
7923,1941,72,9.4,5,"Drama",2
41419,1935,75,14.6,11,"Action",3.5
19222,2002,22,13,17,"Drama",8.1
40371,1972,99,9.1,55,"Drama",2.8
12613,1934,83,13.4,12,"Comedy",8.2
56144,1952,81,13.8,22,"Drama",3.3
42430,1972,91,12.9,34,"Action",4.4
5365,1948,82,9,10,"Drama",4.2
2650,2005,85,16.5,32,"Animation",3.8
5694,1999,90,14.7,15,"Action",4.3
21487,1944,121,6.3,21,"Drama",4.9
21411,1995,101,17,3711,"Comedy",1.8
23339,1987,97,12.1,48,"Action",3.7
54822,1953,67,11.7,23,"Action",3.7
36926,1940,10,9.1,6,"Documentary",8
47033,1941,64,9,20,"Drama",5.1
5201,1989,102,13.1,5,"Drama",5.5
44340,1985,186,11.5,37,"Drama",2.1
48431,1999,73,12.3,54,"Documentary",7.9
27033,1978,37,14.7,36,"Short",7.5
23834,1981,83,12.3,8,"Action",4.3
52096,2003,104,6,106,"Documentary",4.6
52166,1987,98,11.7,9,"Action",5.1
51555,1932,79,9.6,13,"Comedy",8.2
7756,1996,107,11.4,164,"Comedy",4.4
27524,2000,10,12.8,18,"Short",7.6
38235,2000,86,10.7,12,"Action",2.7
35114,1999,124,9.5,2348,"Drama",4.2
44558,1942,43,8.9,213,"Animation",8.6
27435,1983,141,6.7,32,"Comedy",5.2
38222,2001,97,9,11,"Action",4.2
46467,1939,77,11.4,8,"Comedy",7
42220,1999,93,10.1,50,"Comedy",7.4
45472,1992,90,11.4,85,"Drama",4.7
58781,2001,13,9.9,7,"Animation",2.4
11658,1999,99,9.9,152,"Action",3.7
49875,1957,130,9.3,291,"Drama",2.6
30457,1954,76,9.3,18,"Action",4.2
38465,2001,96,12.3,46,"Action",4.8
19625,1955,67,11.6,7,"Drama",5
21604,1957,17,9.1,25,"Comedy",7.5
4304,1948,7,12,7,"Animation",8.1
1899,1942,7,6.2,9,"Animation",7.5
